01|40745|TDRC|40745|2022/07/14 00:00:00|0||||0||03||PPD|XXX||P|76240|CP01||FAC|||
02|STRAWE01|SWE970521JZ8|STRAW WEAVERS S. DE R.L. DE C.V.||||||||||38159||||601|
04|001|84111506||1|ACT||Pago|0|0|||02|
CPAG20|2.0|
CPAG20TOT|||||||||||20750.00|
CPAG20PAGO|40745|2022-06-15T00:00:00|03|USD|20.6600|20750.00|||||BBA830831LJ2|0154943945|||||
CPAG20DOC|40745|E30FEFC2-3C97-4300-94AD-2E475CA75900|TDRT|1319273|USD||1|2075.00|2075.00|0|01| 
CPAG20DOC|40745|12EA91D1-7472-44F6-A518-89BC001BC29A|TDRT|1319274|USD||1|2075.00|2075.00|0|01| 
CPAG20DOC|40745|1B33BB99-CC67-4CC6-951E-03D60F55884E|TDRT|1319275|USD||1|2075.00|2075.00|0|01| 
CPAG20DOC|40745|54E02059-7B12-45B5-A2F7-551A2BAA4124|TDRT|1319276|USD||1|2075.00|2075.00|0|01| 
CPAG20DOC|40745|5670F8A4-2E91-44F9-904F-F5D22250481C|TDRT|1319277|USD||1|2075.00|2075.00|0|01| 
CPAG20DOC|40745|F719FC78-43C0-49CA-BFCF-59353343BE94|TDRT|1319278|USD||1|2075.00|2075.00|0|01| 
CPAG20DOC|40745|66CA0C4C-A06B-4267-A758-EC61E85A0A67|TDRT|1319279|USD||1|2075.00|2075.00|0|01| 
CPAG20DOC|40745|D806DFF4-2BAE-4317-BA05-3287FB723B93|TDRT|1319282|USD||1|2075.00|2075.00|0|01| 
CPAG20DOC|40745|A629D944-90AD-4FB2-B5E0-1F0A68991929|TDRT|1319283|USD||1|2075.00|2075.00|0|01| 
CPAG20DOC|40745|DE6CA6F4-EA06-4683-8FCA-12D22EA951A6|TDRT|1319285|USD||1|2075.00|2075.00|0|01| 
